id,nombre,ciudad,url_principal,url_alternativa,tipo_presencia,plataforma_cms,nivel_digital,robots_permite,estado_auditoria,fuente,notas_eticas,notas_metodologicas
MIS001,Makro Posadas,Posadas,https://www.makro.com.ar,https://www.mercadolibre.com.ar/tienda/makro,web_propia_ecommerce,VTEX,A,no,AUDITABLE_MANUAL_RECOMENDADO,conocimiento_previo+web,robots.txt bloquea acceso automatizado. Auditoria manual del investigador recomendada con notificacion previa a la empresa.,Mayor cadena de cash&carry en Argentina. Precio visible solo con CUIT registrado. Barrera de autenticacion limita auditoria QA de D2 y D5.
MIS002,DIA% Mayorista,Posadas,https://diaonline.supermercadosdia.com.ar,https://www.dia.com.ar,web_propia_ecommerce,VTEX,A,no,AUDITABLE_MANUAL_RECOMENDADO,conocimiento_previo+web,robots.txt bloquea acceso automatizado. Presencia fisica confirmada en Posadas.,Modelo hibrido mayorista/minorista. La plataforma online exige inicio de sesion para ver lista mayorista.
MIS003,Vital Mayorista NEA,Posadas,https://www.vital.com.ar,,web_propia_ecommerce,desconocida,B,no,AUDITABLE_MANUAL_RECOMENDADO,conocimiento_previo,robots.txt bloquea acceso automatizado.,Distribuidor regional del NEA. E-commerce funcional pero limitado en dimensiones D4-D5 (carrito y checkout).
MIS004,Makro Posadas (MercadoLibre Tienda Oficial),Posadas,https://www.mercadolibre.com.ar/tienda/makro,,marketplace_ml,MercadoLibre,B,no,VERIFICAR,busqueda_web,MercadoLibre permite scraping de listings publicos segun robots.txt. Verificar endpoint especifico antes de auditar.,"Misma empresa que MIS001 pero canal distinto. Auditoria separada justificada: UX y checkout son los de ML, no propios. Considerar si incluir en muestra o tratarlo como presencia complementaria."
MIS005,Vital NEA en MercadoLibre,Posadas,https://www.mercadolibre.com.ar/tienda/vitalnea,,marketplace_ml,MercadoLibre,B,no,VERIFICAR,inferido,Verificar existencia de tienda oficial antes de incluir en muestra.,"Si existe, permite comparar canal propio vs canal marketplace del mismo vendedor."
MIS006,Misiones Mayorista,Posadas,https://www.tiktok.com/@misionesmayorista,,solo_redes_sociales,TikTok,D,no,EXCLUIR_QA_INCLUIR_ANALISIS_CUALITATIVO,busqueda_web_tiktok,Sin sitio web propio. Solo TikTok. No aplica auditoria QA de e-commerce (no tiene plataforma de venta digital). Documentar como evidencia de brecha digital.,"Ubicacion: Av. Uruguay 4578, Posadas. Tel: 3765-018955. 10.800 seguidores TikTok. Venta por WhatsApp. Representativo del nivel D del mercado local."
MIS007,Nosotras Mayorista Misiones,Posadas,https://www.facebook.com/p/Nosotras-Mayorista-Misiones-100092608761107/,,solo_redes_sociales,Facebook,D,no,EXCLUIR_QA_INCLUIR_ANALISIS_CUALITATIVO,busqueda_web_facebook,Sin sitio web propio. Solo Facebook (42.888 seguidores). No aplica auditoria QA de e-commerce.,"Alta presencia en Facebook sugiere demanda digital sin infraestructura propia. Incluir en analisis cualitativo o en instrumento de encuesta, no en auditoria QA automatizada."
MIS008,HLC Distribuidora (Posadas),Posadas,https://www.tiktok.com/@hlcdistribuidora,,solo_redes_sociales,TikTok/WhatsApp,D,no,EXCLUIR_QA_INCLUIR_ANALISIS_CUALITATIVO,busqueda_web_tiktok,Sin sitio web propio. Pedidos por WhatsApp 3764-71-6871. Productos de higiene/belleza (no consumo masivo alimentario puro). Evaluar si entra en el universo de estudio.,"Av. Mitre 2470, Posadas. Distribuidor de higiene personal. Verificar si el rubro es representativo del universo de consumo masivo."
MIS009,GK Importados Mayorista,Posadas,https://www.tiktok.com/@gk_importados,,solo_redes_sociales,TikTok/Instagram,D,no,EXCLUIR_QA_INCLUIR_ANALISIS_CUALITATIVO,busqueda_web_tiktok,Importador con venta mayorista. Presencia exclusiva en redes sociales.,Compra minima $150.000. Envios a todo el pais. Rubro importacion: puede no pertenecer al universo de consumo masivo local.
MIS010,La Guia de Mayoristas — Misiones,Posadas/Garupá/Itaembé,https://laguiademayoristas.com.ar/provincias/misiones/,,directorio_web,WordPress,C,no,PENDIENTE_TRABAJO_DE_CAMPO,busqueda_web,robots.txt bloquea scraping del directorio. Util como fuente de identificacion manual de empresas. No es un mayorista en si mismo.,Directorio online de proveedores mayoristas de Misiones. El investigador puede consultarlo manualmente para identificar empresas y luego auditar cada una por separado.
